,url,title,location,make,model,trim,engine,price,year,mileage,transmission,options,power options,body_type,inter_color,exter_color,fuel_type,vehicle_title,for_sale_by,city,state,state_name,lat,lng,state_id,extra_info
3475,https://www.ebay.com/itm/203748187418?hash=item2f70569d1a%3Ag%3A1QIAAOSwZANhinC6&LH_BIN=1,2019 Ford EcoSport SE Sport Utility 4D,"Greenfield, Indiana, United States",ford,AWD SE 4dr Crossover,SE Sport Utility 4D,2.0L I4 166hp 149ft. lbs.,23990,2019,15147,automatic,,,wagon,Ebony Black,Red,Gasoline,Clean,Dealer,Greenfield,Indiana,Indiana,39.7936,-85.7737,IN,"Model: AWD SE 4dr Crossover,  Engine: 2.0L I4 166hp 149ft. lbs., Trim: SE Sport Utility 4D, Options: , Inner Color: Ebony Black, Outside color: Red"
3476,https://www.ebay.com/itm/203748167935?hash=item2f705650ff%3Ag%3Aiy4AAOSwZS1hGQWJ&LH_BIN=1,2018 Ford EcoSport S Sport Utility 4D,"Tempe, Arizona, United States",ford,S 4dr Crossover,S Sport Utility 4D,EcoBoost 1.0L Turbo I3 123hp 125ft. lbs.,17590,2018,36356,automatic,,,wagon,Medium Light Stone,Lightning Blue,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: S 4dr Crossover,  Engine: EcoBoost 1.0L Turbo I3 123hp 125ft. lbs., Trim: S Sport Utility 4D, Options: , Inner Color: Medium Light Stone, Outside color: Lightning Blue"
3477,https://www.ebay.com/itm/203748199630?hash=item2f7056ccce%3Ag%3AJ7sAAOSwgPhhtORF&LH_BIN=1,2018 Nissan Rogue SL Sport Utility 4D,"Tempe, Arizona, United States",nissan,Rogue,SL Sport Utility 4D,2.5L I4 170hp 175ft. lbs.,27590,2018,29720,automatic,,,wagon,Charcoal,Gun Metallic,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: Rogue,  Engine: 2.5L I4 170hp 175ft. lbs., Trim: SL Sport Utility 4D, Options: , Inner Color: Charcoal, Outside color: Gun Metallic"
3478,https://www.ebay.com/itm/203748201752?hash=item2f7056d518%3Ag%3AGFoAAOSwTqBg1dbB&LH_BIN=1,2016 Nissan Rogue SV Sport Utility 4D,"Tempe, Arizona, United States",nissan,Rogue,SV Sport Utility 4D,2.5L I4 170hp 175ft. lbs.,17990,2016,73132,automatic,,,wagon,Almond,Gun Metallic,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: Rogue,  Engine: 2.5L I4 170hp 175ft. lbs., Trim: SV Sport Utility 4D, Options: , Inner Color: Almond, Outside color: Gun Metallic"
3479,https://www.ebay.com/itm/203748172488?hash=item2f705662c8%3Ag%3Aw10AAOSwQJ1hoRmp&LH_BIN=1,2016 Chevrolet Trax LT Sport Utility 4D,"Tempe, Arizona, United States",chevrolet,LT 4dr Crossover,LT Sport Utility 4D,Ecotec 1.4L Turbo I4 138hp 148ft. lbs.,18990,2016,42540,automatic,,,wagon,BLACK,White,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: LT 4dr Crossover,  Engine: Ecotec 1.4L Turbo I4 138hp 148ft. lbs., Trim: LT Sport Utility 4D, Options: , Inner Color: BLACK, Outside color: White"
3480,https://www.ebay.com/itm/203748201312?hash=item2f7056d360%3Ag%3Ax7IAAOSwBSRg7DAb&LH_BIN=1,2017 Ford C-Max Titanium Wagon 4D,"Tempe, Arizona, United States",ford,Titanium 4dr Wagon,Titanium Wagon 4D,2.0L Plug-in Hybrid I4 188hp,19990,2017,42434,automatic,,,wagon,Charcoal Black,Oxford White,,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: Titanium 4dr Wagon,  Engine: 2.0L Plug-in Hybrid I4 188hp, Trim: Titanium Wagon 4D, Options: , Inner Color: Charcoal Black, Outside color: Oxford White"
3481,https://www.ebay.com/itm/203748185156?hash=item2f70569444%3Ag%3AkIEAAOSw0jdhMNre&LH_BIN=1,2015 Mitsubishi Outlander Sport ES Sport Utility 4D,"Tempe, Arizona, United States",mitsubishi,AWD ES 4dr Crossover,ES Sport Utility 4D,2L I4 16V,16590,2015,59882,automatic,,,wagon,OTHER,Labrador Black Pearl,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: AWD ES 4dr Crossover,  Engine: 2L I4 16V, Trim: ES Sport Utility 4D, Options: , Inner Color: OTHER, Outside color: Labrador Black Pearl"
3482,https://www.ebay.com/itm/203748172711?hash=item2f705663a7%3Ag%3AqkAAAOSwtjthtN1r&LH_BIN=1,2016 Nissan Rogue SV Sport Utility 4D,"Tempe, Arizona, United States",nissan,Rogue,SV Sport Utility 4D,2.5L I4 170hp 175ft. lbs.,20990,2016,58356,automatic,,,wagon,Almond,White,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: Rogue,  Engine: 2.5L I4 170hp 175ft. lbs., Trim: SV Sport Utility 4D, Options: , Inner Color: Almond, Outside color: White"
3483,https://www.ebay.com/itm/203748160467?hash=item2f705633d3%3Ag%3AG8cAAOSw-kphtNp3&LH_BIN=1,2013 Nissan Juke S Sport Utility 4D,"Tempe, Arizona, United States",nissan,Juke,S Sport Utility 4D,1.6L I4 16V,15590,2013,75439,automatic,,,wagon,BLACK,Pearl White,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: Juke,  Engine: 1.6L I4 16V, Trim: S Sport Utility 4D, Options: , Inner Color: BLACK, Outside color: Pearl White"
3484,https://www.ebay.com/itm/203748162839?hash=item2f70563d17%3Ag%3AcuQAAOSwTfNgJtZL&LH_BIN=1,2020 Mitsubishi Outlander Sport SP Sport Utility 4D,"Tempe, Arizona, United States",mitsubishi,Outlander Sport,SP Sport Utility 4D,2L I4 16V,17990,2020,13935,automatic,,,wagon,BLACK,Red Diamond,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: Outlander Sport,  Engine: 2L I4 16V, Trim: SP Sport Utility 4D, Options: , Inner Color: BLACK, Outside color: Red Diamond"
